feature,split_count
loan_int_rate,32
person_income,17
credit_score,15
loan_percent_income,11
person_id,10
person_home_ownership=OWN,5
loan_amnt,5
loan_intent=VENTURE,4
person_home_ownership=RENT,4
person_age,3
person_gender=female,2
person_education=Associate,2
loan_intent=MEDICAL,2
previous_loan_defaults_on_file=Yes,1
loan_intent=HOMEIMPROVEMENT,1
person_education=Master,1
cb_person_cred_hist_length,1
loan_intent=DEBTCONSOLIDATION,1
person_emp_exp,1
person_gender=male,1
loan_intent=EDUCATION,1
loan_intent=PERSONAL,1
